id;nom;durée;style;niveau;audience;cible;mode
tabata_full_body_exterieur_10_min_debutant;Tabata Full body Extérieur 10 min;10 min;tabata;Débutant;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_15_min_debutant;Tabata Full body Extérieur 15 min;15 min;tabata;Débutant;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_20_min_debutant;Tabata Full body Extérieur 20 min;20 min;tabata;Débutant;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_25_min_debutant;Tabata Full body Extérieur 25 min;25 min;tabata;Débutant;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_30_min_debutant;Tabata Full body Extérieur 30 min;30 min;tabata;Débutant;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_45_min_debutant;Tabata Full body Extérieur 45 min;45 min;tabata;Débutant;Extérieur;Full body;terrain hardcore
tabata_full_body_coach_10_min_debutant;Tabata Full body Coach 10 min;10 min;tabata;Débutant;Coach;Full body;terrain hardcore
tabata_full_body_coach_15_min_debutant;Tabata Full body Coach 15 min;15 min;tabata;Débutant;Coach;Full body;terrain hardcore
tabata_full_body_coach_20_min_debutant;Tabata Full body Coach 20 min;20 min;tabata;Débutant;Coach;Full body;terrain hardcore
tabata_full_body_coach_25_min_debutant;Tabata Full body Coach 25 min;25 min;tabata;Débutant;Coach;Full body;terrain hardcore
tabata_full_body_coach_30_min_debutant;Tabata Full body Coach 30 min;30 min;tabata;Débutant;Coach;Full body;terrain hardcore
tabata_full_body_coach_45_min_debutant;Tabata Full body Coach 45 min;45 min;tabata;Débutant;Coach;Full body;terrain hardcore
tabata_full_body_solo_10_min_intermediaire;Tabata Full body Solo 10 min;10 min;tabata;Intermédiaire;Solo;Full body;terrain hardcore
tabata_full_body_solo_15_min_intermediaire;Tabata Full body Solo 15 min;15 min;tabata;Intermédiaire;Solo;Full body;terrain hardcore
tabata_full_body_solo_20_min_intermediaire;Tabata Full body Solo 20 min;20 min;tabata;Intermédiaire;Solo;Full body;terrain hardcore
tabata_full_body_solo_25_min_intermediaire;Tabata Full body Solo 25 min;25 min;tabata;Intermédiaire;Solo;Full body;terrain hardcore
tabata_full_body_solo_30_min_intermediaire;Tabata Full body Solo 30 min;30 min;tabata;Intermédiaire;Solo;Full body;terrain hardcore
tabata_full_body_solo_45_min_intermediaire;Tabata Full body Solo 45 min;45 min;tabata;Intermédiaire;Solo;Full body;terrain hardcore
tabata_full_body_groupe_10_min_intermediaire;Tabata Full body Groupe 10 min;10 min;tabata;Intermédiaire;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_15_min_intermediaire;Tabata Full body Groupe 15 min;15 min;tabata;Intermédiaire;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_20_min_intermediaire;Tabata Full body Groupe 20 min;20 min;tabata;Intermédiaire;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_25_min_intermediaire;Tabata Full body Groupe 25 min;25 min;tabata;Intermédiaire;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_30_min_intermediaire;Tabata Full body Groupe 30 min;30 min;tabata;Intermédiaire;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_45_min_intermediaire;Tabata Full body Groupe 45 min;45 min;tabata;Intermédiaire;Groupe;Full body;terrain hardcore
tabata_full_body_maison_10_min_intermediaire;Tabata Full body Maison 10 min;10 min;tabata;Intermédiaire;Maison;Full body;terrain hardcore
tabata_full_body_maison_15_min_intermediaire;Tabata Full body Maison 15 min;15 min;tabata;Intermédiaire;Maison;Full body;terrain hardcore
tabata_full_body_maison_20_min_intermediaire;Tabata Full body Maison 20 min;20 min;tabata;Intermédiaire;Maison;Full body;terrain hardcore
tabata_full_body_maison_25_min_intermediaire;Tabata Full body Maison 25 min;25 min;tabata;Intermédiaire;Maison;Full body;terrain hardcore
tabata_full_body_maison_30_min_intermediaire;Tabata Full body Maison 30 min;30 min;tabata;Intermédiaire;Maison;Full body;terrain hardcore
tabata_full_body_maison_45_min_intermediaire;Tabata Full body Maison 45 min;45 min;tabata;Intermédiaire;Maison;Full body;terrain hardcore
tabata_full_body_salle_10_min_intermediaire;Tabata Full body Salle 10 min;10 min;tabata;Intermédiaire;Salle;Full body;terrain hardcore
tabata_full_body_salle_15_min_intermediaire;Tabata Full body Salle 15 min;15 min;tabata;Intermédiaire;Salle;Full body;terrain hardcore
tabata_full_body_salle_20_min_intermediaire;Tabata Full body Salle 20 min;20 min;tabata;Intermédiaire;Salle;Full body;terrain hardcore
tabata_full_body_salle_25_min_intermediaire;Tabata Full body Salle 25 min;25 min;tabata;Intermédiaire;Salle;Full body;terrain hardcore
tabata_full_body_salle_30_min_intermediaire;Tabata Full body Salle 30 min;30 min;tabata;Intermédiaire;Salle;Full body;terrain hardcore
tabata_full_body_salle_45_min_intermediaire;Tabata Full body Salle 45 min;45 min;tabata;Intermédiaire;Salle;Full body;terrain hardcore
tabata_full_body_exterieur_10_min_intermediaire;Tabata Full body Extérieur 10 min;10 min;tabata;Intermédiaire;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_15_min_intermediaire;Tabata Full body Extérieur 15 min;15 min;tabata;Intermédiaire;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_20_min_intermediaire;Tabata Full body Extérieur 20 min;20 min;tabata;Intermédiaire;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_25_min_intermediaire;Tabata Full body Extérieur 25 min;25 min;tabata;Intermédiaire;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_30_min_intermediaire;Tabata Full body Extérieur 30 min;30 min;tabata;Intermédiaire;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_45_min_intermediaire;Tabata Full body Extérieur 45 min;45 min;tabata;Intermédiaire;Extérieur;Full body;terrain hardcore
tabata_full_body_coach_10_min_intermediaire;Tabata Full body Coach 10 min;10 min;tabata;Intermédiaire;Coach;Full body;terrain hardcore
tabata_full_body_coach_15_min_intermediaire;Tabata Full body Coach 15 min;15 min;tabata;Intermédiaire;Coach;Full body;terrain hardcore
tabata_full_body_coach_20_min_intermediaire;Tabata Full body Coach 20 min;20 min;tabata;Intermédiaire;Coach;Full body;terrain hardcore
tabata_full_body_coach_25_min_intermediaire;Tabata Full body Coach 25 min;25 min;tabata;Intermédiaire;Coach;Full body;terrain hardcore
tabata_full_body_coach_30_min_intermediaire;Tabata Full body Coach 30 min;30 min;tabata;Intermédiaire;Coach;Full body;terrain hardcore
tabata_full_body_coach_45_min_intermediaire;Tabata Full body Coach 45 min;45 min;tabata;Intermédiaire;Coach;Full body;terrain hardcore
tabata_full_body_solo_10_min_avance;Tabata Full body Solo 10 min;10 min;tabata;Avancé;Solo;Full body;terrain hardcore
tabata_full_body_solo_15_min_avance;Tabata Full body Solo 15 min;15 min;tabata;Avancé;Solo;Full body;terrain hardcore
tabata_full_body_solo_20_min_avance;Tabata Full body Solo 20 min;20 min;tabata;Avancé;Solo;Full body;terrain hardcore
tabata_full_body_solo_25_min_avance;Tabata Full body Solo 25 min;25 min;tabata;Avancé;Solo;Full body;terrain hardcore
tabata_full_body_solo_30_min_avance;Tabata Full body Solo 30 min;30 min;tabata;Avancé;Solo;Full body;terrain hardcore
tabata_full_body_solo_45_min_avance;Tabata Full body Solo 45 min;45 min;tabata;Avancé;Solo;Full body;terrain hardcore
tabata_full_body_groupe_10_min_avance;Tabata Full body Groupe 10 min;10 min;tabata;Avancé;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_15_min_avance;Tabata Full body Groupe 15 min;15 min;tabata;Avancé;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_20_min_avance;Tabata Full body Groupe 20 min;20 min;tabata;Avancé;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_25_min_avance;Tabata Full body Groupe 25 min;25 min;tabata;Avancé;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_30_min_avance;Tabata Full body Groupe 30 min;30 min;tabata;Avancé;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_45_min_avance;Tabata Full body Groupe 45 min;45 min;tabata;Avancé;Groupe;Full body;terrain hardcore
tabata_full_body_maison_10_min_avance;Tabata Full body Maison 10 min;10 min;tabata;Avancé;Maison;Full body;terrain hardcore
tabata_full_body_maison_15_min_avance;Tabata Full body Maison 15 min;15 min;tabata;Avancé;Maison;Full body;terrain hardcore
tabata_full_body_maison_20_min_avance;Tabata Full body Maison 20 min;20 min;tabata;Avancé;Maison;Full body;terrain hardcore
tabata_full_body_maison_25_min_avance;Tabata Full body Maison 25 min;25 min;tabata;Avancé;Maison;Full body;terrain hardcore
tabata_full_body_maison_30_min_avance;Tabata Full body Maison 30 min;30 min;tabata;Avancé;Maison;Full body;terrain hardcore
tabata_full_body_maison_45_min_avance;Tabata Full body Maison 45 min;45 min;tabata;Avancé;Maison;Full body;terrain hardcore
tabata_full_body_salle_10_min_avance;Tabata Full body Salle 10 min;10 min;tabata;Avancé;Salle;Full body;terrain hardcore
tabata_full_body_salle_15_min_avance;Tabata Full body Salle 15 min;15 min;tabata;Avancé;Salle;Full body;terrain hardcore
tabata_full_body_salle_20_min_avance;Tabata Full body Salle 20 min;20 min;tabata;Avancé;Salle;Full body;terrain hardcore
tabata_full_body_salle_25_min_avance;Tabata Full body Salle 25 min;25 min;tabata;Avancé;Salle;Full body;terrain hardcore
tabata_full_body_salle_30_min_avance;Tabata Full body Salle 30 min;30 min;tabata;Avancé;Salle;Full body;terrain hardcore
tabata_full_body_salle_45_min_avance;Tabata Full body Salle 45 min;45 min;tabata;Avancé;Salle;Full body;terrain hardcore
tabata_full_body_exterieur_10_min_avance;Tabata Full body Extérieur 10 min;10 min;tabata;Avancé;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_15_min_avance;Tabata Full body Extérieur 15 min;15 min;tabata;Avancé;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_20_min_avance;Tabata Full body Extérieur 20 min;20 min;tabata;Avancé;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_25_min_avance;Tabata Full body Extérieur 25 min;25 min;tabata;Avancé;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_30_min_avance;Tabata Full body Extérieur 30 min;30 min;tabata;Avancé;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_45_min_avance;Tabata Full body Extérieur 45 min;45 min;tabata;Avancé;Extérieur;Full body;terrain hardcore
tabata_full_body_coach_10_min_avance;Tabata Full body Coach 10 min;10 min;tabata;Avancé;Coach;Full body;terrain hardcore
tabata_full_body_coach_15_min_avance;Tabata Full body Coach 15 min;15 min;tabata;Avancé;Coach;Full body;terrain hardcore
tabata_full_body_coach_20_min_avance;Tabata Full body Coach 20 min;20 min;tabata;Avancé;Coach;Full body;terrain hardcore
tabata_full_body_coach_25_min_avance;Tabata Full body Coach 25 min;25 min;tabata;Avancé;Coach;Full body;terrain hardcore
tabata_full_body_coach_30_min_avance;Tabata Full body Coach 30 min;30 min;tabata;Avancé;Coach;Full body;terrain hardcore
tabata_full_body_coach_45_min_avance;Tabata Full body Coach 45 min;45 min;tabata;Avancé;Coach;Full body;terrain hardcore
tabata_full_body_solo_10_min_expert;Tabata Full body Solo 10 min;10 min;tabata;Expert;Solo;Full body;terrain hardcore
tabata_full_body_solo_15_min_expert;Tabata Full body Solo 15 min;15 min;tabata;Expert;Solo;Full body;terrain hardcore
tabata_full_body_solo_20_min_expert;Tabata Full body Solo 20 min;20 min;tabata;Expert;Solo;Full body;terrain hardcore
tabata_full_body_solo_25_min_expert;Tabata Full body Solo 25 min;25 min;tabata;Expert;Solo;Full body;terrain hardcore
tabata_full_body_solo_30_min_expert;Tabata Full body Solo 30 min;30 min;tabata;Expert;Solo;Full body;terrain hardcore
tabata_full_body_solo_45_min_expert;Tabata Full body Solo 45 min;45 min;tabata;Expert;Solo;Full body;terrain hardcore
tabata_full_body_groupe_10_min_expert;Tabata Full body Groupe 10 min;10 min;tabata;Expert;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_15_min_expert;Tabata Full body Groupe 15 min;15 min;tabata;Expert;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_20_min_expert;Tabata Full body Groupe 20 min;20 min;tabata;Expert;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_25_min_expert;Tabata Full body Groupe 25 min;25 min;tabata;Expert;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_30_min_expert;Tabata Full body Groupe 30 min;30 min;tabata;Expert;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_45_min_expert;Tabata Full body Groupe 45 min;45 min;tabata;Expert;Groupe;Full body;terrain hardcore
tabata_full_body_maison_10_min_expert;Tabata Full body Maison 10 min;10 min;tabata;Expert;Maison;Full body;terrain hardcore
tabata_full_body_maison_15_min_expert;Tabata Full body Maison 15 min;15 min;tabata;Expert;Maison;Full body;terrain hardcore
tabata_full_body_maison_20_min_expert;Tabata Full body Maison 20 min;20 min;tabata;Expert;Maison;Full body;terrain hardcore
tabata_full_body_maison_25_min_expert;Tabata Full body Maison 25 min;25 min;tabata;Expert;Maison;Full body;terrain hardcore
tabata_full_body_maison_30_min_expert;Tabata Full body Maison 30 min;30 min;tabata;Expert;Maison;Full body;terrain hardcore
tabata_full_body_maison_45_min_expert;Tabata Full body Maison 45 min;45 min;tabata;Expert;Maison;Full body;terrain hardcore
tabata_full_body_salle_10_min_expert;Tabata Full body Salle 10 min;10 min;tabata;Expert;Salle;Full body;terrain hardcore
tabata_full_body_salle_15_min_expert;Tabata Full body Salle 15 min;15 min;tabata;Expert;Salle;Full body;terrain hardcore
tabata_full_body_salle_20_min_expert;Tabata Full body Salle 20 min;20 min;tabata;Expert;Salle;Full body;terrain hardcore
tabata_full_body_salle_25_min_expert;Tabata Full body Salle 25 min;25 min;tabata;Expert;Salle;Full body;terrain hardcore
tabata_full_body_salle_30_min_expert;Tabata Full body Salle 30 min;30 min;tabata;Expert;Salle;Full body;terrain hardcore
tabata_full_body_salle_45_min_expert;Tabata Full body Salle 45 min;45 min;tabata;Expert;Salle;Full body;terrain hardcore
tabata_full_body_exterieur_10_min_expert;Tabata Full body Extérieur 10 min;10 min;tabata;Expert;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_15_min_expert;Tabata Full body Extérieur 15 min;15 min;tabata;Expert;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_20_min_expert;Tabata Full body Extérieur 20 min;20 min;tabata;Expert;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_25_min_expert;Tabata Full body Extérieur 25 min;25 min;tabata;Expert;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_30_min_expert;Tabata Full body Extérieur 30 min;30 min;tabata;Expert;Extérieur;Full body;terrain hardcore
tabata_full_body_exterieur_45_min_expert;Tabata Full body Extérieur 45 min;45 min;tabata;Expert;Extérieur;Full body;terrain hardcore
tabata_full_body_coach_10_min_expert;Tabata Full body Coach 10 min;10 min;tabata;Expert;Coach;Full body;terrain hardcore
tabata_full_body_coach_15_min_expert;Tabata Full body Coach 15 min;15 min;tabata;Expert;Coach;Full body;terrain hardcore
tabata_full_body_coach_20_min_expert;Tabata Full body Coach 20 min;20 min;tabata;Expert;Coach;Full body;terrain hardcore
tabata_full_body_coach_25_min_expert;Tabata Full body Coach 25 min;25 min;tabata;Expert;Coach;Full body;terrain hardcore
tabata_full_body_coach_30_min_expert;Tabata Full body Coach 30 min;30 min;tabata;Expert;Coach;Full body;terrain hardcore
tabata_full_body_coach_45_min_expert;Tabata Full body Coach 45 min;45 min;tabata;Expert;Coach;Full body;terrain hardcore
tabata_pectoraux_solo_10_min_debutant;Tabata Pectoraux Solo 10 min;10 min;tabata;Débutant;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_15_min_debutant;Tabata Pectoraux Solo 15 min;15 min;tabata;Débutant;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_20_min_debutant;Tabata Pectoraux Solo 20 min;20 min;tabata;Débutant;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_25_min_debutant;Tabata Pectoraux Solo 25 min;25 min;tabata;Débutant;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_30_min_debutant;Tabata Pectoraux Solo 30 min;30 min;tabata;Débutant;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_45_min_debutant;Tabata Pectoraux Solo 45 min;45 min;tabata;Débutant;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_10_min_debutant;Tabata Pectoraux Groupe 10 min;10 min;tabata;Débutant;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_15_min_debutant;Tabata Pectoraux Groupe 15 min;15 min;tabata;Débutant;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_20_min_debutant;Tabata Pectoraux Groupe 20 min;20 min;tabata;Débutant;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_25_min_debutant;Tabata Pectoraux Groupe 25 min;25 min;tabata;Débutant;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_30_min_debutant;Tabata Pectoraux Groupe 30 min;30 min;tabata;Débutant;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_45_min_debutant;Tabata Pectoraux Groupe 45 min;45 min;tabata;Débutant;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_maison_10_min_debutant;Tabata Pectoraux Maison 10 min;10 min;tabata;Débutant;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_15_min_debutant;Tabata Pectoraux Maison 15 min;15 min;tabata;Débutant;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_20_min_debutant;Tabata Pectoraux Maison 20 min;20 min;tabata;Débutant;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_25_min_debutant;Tabata Pectoraux Maison 25 min;25 min;tabata;Débutant;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_30_min_debutant;Tabata Pectoraux Maison 30 min;30 min;tabata;Débutant;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_45_min_debutant;Tabata Pectoraux Maison 45 min;45 min;tabata;Débutant;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_salle_10_min_debutant;Tabata Pectoraux Salle 10 min;10 min;tabata;Débutant;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_15_min_debutant;Tabata Pectoraux Salle 15 min;15 min;tabata;Débutant;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_20_min_debutant;Tabata Pectoraux Salle 20 min;20 min;tabata;Débutant;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_25_min_debutant;Tabata Pectoraux Salle 25 min;25 min;tabata;Débutant;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_30_min_debutant;Tabata Pectoraux Salle 30 min;30 min;tabata;Débutant;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_45_min_debutant;Tabata Pectoraux Salle 45 min;45 min;tabata;Débutant;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_10_min_debutant;Tabata Pectoraux Extérieur 10 min;10 min;tabata;Débutant;Extérieur;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_15_min_debutant;Tabata Pectoraux Extérieur 15 min;15 min;tabata;Débutant;Extérieur;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_20_min_debutant;Tabata Pectoraux Extérieur 20 min;20 min;tabata;Débutant;Extérieur;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_25_min_debutant;Tabata Pectoraux Extérieur 25 min;25 min;tabata;Débutant;Extérieur;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_30_min_debutant;Tabata Pectoraux Extérieur 30 min;30 min;tabata;Débutant;Extérieur;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_45_min_debutant;Tabata Pectoraux Extérieur 45 min;45 min;tabata;Débutant;Extérieur;Pectoraux;terrain hardcore
tabata_pectoraux_coach_10_min_debutant;Tabata Pectoraux Coach 10 min;10 min;tabata;Débutant;Coach;Pectoraux;terrain hardcore
tabata_pectoraux_coach_15_min_debutant;Tabata Pectoraux Coach 15 min;15 min;tabata;Débutant;Coach;Pectoraux;terrain hardcore
tabata_pectoraux_coach_20_min_debutant;Tabata Pectoraux Coach 20 min;20 min;tabata;Débutant;Coach;Pectoraux;terrain hardcore
tabata_pectoraux_coach_25_min_debutant;Tabata Pectoraux Coach 25 min;25 min;tabata;Débutant;Coach;Pectoraux;terrain hardcore
tabata_pectoraux_coach_30_min_debutant;Tabata Pectoraux Coach 30 min;30 min;tabata;Débutant;Coach;Pectoraux;terrain hardcore
tabata_pectoraux_coach_45_min_debutant;Tabata Pectoraux Coach 45 min;45 min;tabata;Débutant;Coach;Pectoraux;terrain hardcore
tabata_pectoraux_solo_10_min_intermediaire;Tabata Pectoraux Solo 10 min;10 min;tabata;Intermédiaire;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_15_min_intermediaire;Tabata Pectoraux Solo 15 min;15 min;tabata;Intermédiaire;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_20_min_intermediaire;Tabata Pectoraux Solo 20 min;20 min;tabata;Intermédiaire;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_25_min_intermediaire;Tabata Pectoraux Solo 25 min;25 min;tabata;Intermédiaire;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_30_min_intermediaire;Tabata Pectoraux Solo 30 min;30 min;tabata;Intermédiaire;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_solo_45_min_intermediaire;Tabata Pectoraux Solo 45 min;45 min;tabata;Intermédiaire;Solo;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_10_min_intermediaire;Tabata Pectoraux Groupe 10 min;10 min;tabata;Intermédiaire;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_15_min_intermediaire;Tabata Pectoraux Groupe 15 min;15 min;tabata;Intermédiaire;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_20_min_intermediaire;Tabata Pectoraux Groupe 20 min;20 min;tabata;Intermédiaire;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_25_min_intermediaire;Tabata Pectoraux Groupe 25 min;25 min;tabata;Intermédiaire;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_30_min_intermediaire;Tabata Pectoraux Groupe 30 min;30 min;tabata;Intermédiaire;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_groupe_45_min_intermediaire;Tabata Pectoraux Groupe 45 min;45 min;tabata;Intermédiaire;Groupe;Pectoraux;terrain hardcore
tabata_pectoraux_maison_10_min_intermediaire;Tabata Pectoraux Maison 10 min;10 min;tabata;Intermédiaire;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_15_min_intermediaire;Tabata Pectoraux Maison 15 min;15 min;tabata;Intermédiaire;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_20_min_intermediaire;Tabata Pectoraux Maison 20 min;20 min;tabata;Intermédiaire;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_25_min_intermediaire;Tabata Pectoraux Maison 25 min;25 min;tabata;Intermédiaire;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_30_min_intermediaire;Tabata Pectoraux Maison 30 min;30 min;tabata;Intermédiaire;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_maison_45_min_intermediaire;Tabata Pectoraux Maison 45 min;45 min;tabata;Intermédiaire;Maison;Pectoraux;terrain hardcore
tabata_pectoraux_salle_10_min_intermediaire;Tabata Pectoraux Salle 10 min;10 min;tabata;Intermédiaire;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_15_min_intermediaire;Tabata Pectoraux Salle 15 min;15 min;tabata;Intermédiaire;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_20_min_intermediaire;Tabata Pectoraux Salle 20 min;20 min;tabata;Intermédiaire;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_25_min_intermediaire;Tabata Pectoraux Salle 25 min;25 min;tabata;Intermédiaire;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_30_min_intermediaire;Tabata Pectoraux Salle 30 min;30 min;tabata;Intermédiaire;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_salle_45_min_intermediaire;Tabata Pectoraux Salle 45 min;45 min;tabata;Intermédiaire;Salle;Pectoraux;terrain hardcore
tabata_pectoraux_exterieur_10_min_intermediaire;Tabata Pectoraux Extérieur 10 min;10 min;tabata;Intermédiaire;Extérieur;Pectoraux;terrain hardcore
