id;nom;durée;style;niveau;audience;cible
amrap_bas_corps_v40;AMRAP Bas du corps;35–55 min;amrap;;;
amrap_boxe_v40;AMRAP Boxe;30–45 min;amrap;;;
amrap_core_v40;AMRAP Core;20–35 min;amrap;;;
amrap_debutant_v40;AMRAP Débutant;30–40 min;amrap;;;
amrap_exterieur_v40;AMRAP Extérieur;25–45 min;amrap;;;
amrap_groupe_v40;AMRAP Groupe;30–45 min;amrap;;;
amrap_haut_corps_v40;AMRAP Haut du corps;35–55 min;amrap;;;
amrap_intermediaire_v40;AMRAP Intermédiaire;40–55 min;amrap;;;
amrap_solo_v40;AMRAP Solo;35–60 min;amrap;;;
emom_10;EMOM 10 min;10 min;emom;;;
emom_20;EMOM 20 min;20 min;emom;;;
emom_avance_v40;EMOM Avancé;45–70 min;emom;;;
emom_bas_corps_v40;EMOM Bas du corps;35–55 min;emom;;;
emom_boxe_v40;EMOM Boxe;30–45 min;emom;;;
emom_core_v40;EMOM Core;20–35 min;emom;;;
emom_debutant_v40;EMOM Débutant;30–40 min;emom;;;
emom_exterieur_v40;EMOM Extérieur;25–45 min;emom;;;
emom_groupe_v40;EMOM Groupe;30–45 min;emom;;;
emom_haut_corps_v40;EMOM Haut du corps;35–55 min;emom;;;
emom_intermediaire_v40;EMOM Intermédiaire;40–55 min;emom;;;
emom_solo_v40;EMOM Solo;35–60 min;emom;;;
for_time_avance_v40;For Time Avancé;45–70 min;for_time;;;
for_time_bas_corps_v40;For Time Bas du corps;35–55 min;for_time;;;
for_time_boxe_v40;For Time Boxe;30–45 min;for_time;;;
for_time_core_v40;For Time Core;20–35 min;for_time;;;
for_time_debutant_v40;For Time Débutant;30–40 min;for_time;;;
for_time_exterieur_v40;For Time Extérieur;25–45 min;for_time;;;
for_time_groupe_v40;For Time Groupe;30–45 min;for_time;;;
for_time_haut_corps_v40;For Time Haut du corps;35–55 min;for_time;;;
for_time_intermediaire_v40;For Time Intermédiaire;40–55 min;for_time;;;
for_time_simple;For Time simple;10–25 min;for_time;;;
for_time_solo_v40;For Time Solo;35–60 min;for_time;;;
full_body_start_20;Full Body Start 20;20 min;renforcement;Débutant;Solo;Full body
tabata_grand_groupe;Tabata Grand Groupe;20 min;tabata;Intermédiaire;Groupe;Cardio
amrap_solo_12;AMRAP Solo 12;12 min;amrap;Débutant;Solo;Full body
emom_force_20;EMOM Force 20;20 min;emom;Intermédiaire;Solo;Full body
for_time_debutant;For Time Débutant;18 min;for_time;Débutant;Solo;Cardio
hyrox_simulation_45;Hyrox Simulation 45;45 min;hyrox;Intermédiaire;Solo/Groupe;Hyrox
boxe_cardio_rounds;Boxe Cardio Rounds;35 min;boxe;Tous niveaux;Solo/Groupe;Boxe
mobilite_recovery_25;Mobilité Recovery 25;25 min;mobilite;Tous niveaux;Solo;Mobilité
circuit_ados_35;Circuit Ados Terrain 35;35 min;circuit_training;Débutant;Groupe;Cardio
muscu_push_volume;Muscu Push Volume;60 min;musculation;Intermédiaire;Salle;Push
muscu_pull_posture;Muscu Pull Posture;60 min;musculation;Intermédiaire;Salle;Pull
jambes_fessiers_45;Jambes Fessiers 45;45 min;renforcement;Tous niveaux;Solo;Jambes fessiers
renforcement_debutant_full_body_10;Renforcement Full body Débutant 10 min;10 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_full_body_15;Renforcement Full body Débutant 15 min;15 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_full_body_20;Renforcement Full body Débutant 20 min;20 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_full_body_30;Renforcement Full body Débutant 30 min;30 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_full_body_45;Renforcement Full body Débutant 45 min;45 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_full_body_60;Renforcement Full body Débutant 60 min;60 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_full_body_75;Renforcement Full body Débutant 75 min;75 min;renforcement;Débutant;Débutant;Full body
renforcement_debutant_haut_du_corps_10;Renforcement Haut du corps Débutant 10 min;10 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_haut_du_corps_15;Renforcement Haut du corps Débutant 15 min;15 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_haut_du_corps_20;Renforcement Haut du corps Débutant 20 min;20 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_haut_du_corps_30;Renforcement Haut du corps Débutant 30 min;30 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_haut_du_corps_45;Renforcement Haut du corps Débutant 45 min;45 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_haut_du_corps_60;Renforcement Haut du corps Débutant 60 min;60 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_haut_du_corps_75;Renforcement Haut du corps Débutant 75 min;75 min;renforcement;Débutant;Débutant;Haut du corps
renforcement_debutant_bas_du_corps_10;Renforcement Bas du corps Débutant 10 min;10 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_bas_du_corps_15;Renforcement Bas du corps Débutant 15 min;15 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_bas_du_corps_20;Renforcement Bas du corps Débutant 20 min;20 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_bas_du_corps_30;Renforcement Bas du corps Débutant 30 min;30 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_bas_du_corps_45;Renforcement Bas du corps Débutant 45 min;45 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_bas_du_corps_60;Renforcement Bas du corps Débutant 60 min;60 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_bas_du_corps_75;Renforcement Bas du corps Débutant 75 min;75 min;renforcement;Débutant;Débutant;Bas du corps
renforcement_debutant_core_10;Renforcement Core Débutant 10 min;10 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_core_15;Renforcement Core Débutant 15 min;15 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_core_20;Renforcement Core Débutant 20 min;20 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_core_30;Renforcement Core Débutant 30 min;30 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_core_45;Renforcement Core Débutant 45 min;45 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_core_60;Renforcement Core Débutant 60 min;60 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_core_75;Renforcement Core Débutant 75 min;75 min;renforcement;Débutant;Débutant;Core
renforcement_debutant_cardio_10;Renforcement Cardio Débutant 10 min;10 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_cardio_15;Renforcement Cardio Débutant 15 min;15 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_cardio_20;Renforcement Cardio Débutant 20 min;20 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_cardio_30;Renforcement Cardio Débutant 30 min;30 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_cardio_45;Renforcement Cardio Débutant 45 min;45 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_cardio_60;Renforcement Cardio Débutant 60 min;60 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_cardio_75;Renforcement Cardio Débutant 75 min;75 min;renforcement;Débutant;Débutant;Cardio
renforcement_debutant_boxe_10;Renforcement Boxe Débutant 10 min;10 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_boxe_15;Renforcement Boxe Débutant 15 min;15 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_boxe_20;Renforcement Boxe Débutant 20 min;20 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_boxe_30;Renforcement Boxe Débutant 30 min;30 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_boxe_45;Renforcement Boxe Débutant 45 min;45 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_boxe_60;Renforcement Boxe Débutant 60 min;60 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_boxe_75;Renforcement Boxe Débutant 75 min;75 min;renforcement;Débutant;Débutant;Boxe
renforcement_debutant_mobilit_10;Renforcement Mobilité Débutant 10 min;10 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_mobilit_15;Renforcement Mobilité Débutant 15 min;15 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_mobilit_20;Renforcement Mobilité Débutant 20 min;20 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_mobilit_30;Renforcement Mobilité Débutant 30 min;30 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_mobilit_45;Renforcement Mobilité Débutant 45 min;45 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_mobilit_60;Renforcement Mobilité Débutant 60 min;60 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_mobilit_75;Renforcement Mobilité Débutant 75 min;75 min;renforcement;Débutant;Débutant;Mobilité
renforcement_debutant_hyrox_10;Renforcement Hyrox Débutant 10 min;10 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_hyrox_15;Renforcement Hyrox Débutant 15 min;15 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_hyrox_20;Renforcement Hyrox Débutant 20 min;20 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_hyrox_30;Renforcement Hyrox Débutant 30 min;30 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_hyrox_45;Renforcement Hyrox Débutant 45 min;45 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_hyrox_60;Renforcement Hyrox Débutant 60 min;60 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_hyrox_75;Renforcement Hyrox Débutant 75 min;75 min;renforcement;Débutant;Débutant;Hyrox
renforcement_debutant_push_10;Renforcement Push Débutant 10 min;10 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_push_15;Renforcement Push Débutant 15 min;15 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_push_20;Renforcement Push Débutant 20 min;20 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_push_30;Renforcement Push Débutant 30 min;30 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_push_45;Renforcement Push Débutant 45 min;45 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_push_60;Renforcement Push Débutant 60 min;60 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_push_75;Renforcement Push Débutant 75 min;75 min;renforcement;Débutant;Débutant;Push
renforcement_debutant_pull_10;Renforcement Pull Débutant 10 min;10 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_pull_15;Renforcement Pull Débutant 15 min;15 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_pull_20;Renforcement Pull Débutant 20 min;20 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_pull_30;Renforcement Pull Débutant 30 min;30 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_pull_45;Renforcement Pull Débutant 45 min;45 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_pull_60;Renforcement Pull Débutant 60 min;60 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_pull_75;Renforcement Pull Débutant 75 min;75 min;renforcement;Débutant;Débutant;Pull
renforcement_debutant_jambes_fessiers_10;Renforcement Jambes fessiers Débutant 10 min;10 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_debutant_jambes_fessiers_15;Renforcement Jambes fessiers Débutant 15 min;15 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_debutant_jambes_fessiers_20;Renforcement Jambes fessiers Débutant 20 min;20 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_debutant_jambes_fessiers_30;Renforcement Jambes fessiers Débutant 30 min;30 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_debutant_jambes_fessiers_45;Renforcement Jambes fessiers Débutant 45 min;45 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_debutant_jambes_fessiers_60;Renforcement Jambes fessiers Débutant 60 min;60 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_debutant_jambes_fessiers_75;Renforcement Jambes fessiers Débutant 75 min;75 min;renforcement;Débutant;Débutant;Jambes fessiers
renforcement_intermediaire_full_body_10;Renforcement Full body Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_full_body_15;Renforcement Full body Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_full_body_20;Renforcement Full body Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_full_body_30;Renforcement Full body Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_full_body_45;Renforcement Full body Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_full_body_60;Renforcement Full body Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_full_body_75;Renforcement Full body Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Full body
renforcement_intermediaire_haut_du_corps_10;Renforcement Haut du corps Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_haut_du_corps_15;Renforcement Haut du corps Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_haut_du_corps_20;Renforcement Haut du corps Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_haut_du_corps_30;Renforcement Haut du corps Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_haut_du_corps_45;Renforcement Haut du corps Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_haut_du_corps_60;Renforcement Haut du corps Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_haut_du_corps_75;Renforcement Haut du corps Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Haut du corps
renforcement_intermediaire_bas_du_corps_10;Renforcement Bas du corps Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_bas_du_corps_15;Renforcement Bas du corps Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_bas_du_corps_20;Renforcement Bas du corps Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_bas_du_corps_30;Renforcement Bas du corps Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_bas_du_corps_45;Renforcement Bas du corps Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_bas_du_corps_60;Renforcement Bas du corps Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_bas_du_corps_75;Renforcement Bas du corps Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Bas du corps
renforcement_intermediaire_core_10;Renforcement Core Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_core_15;Renforcement Core Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_core_20;Renforcement Core Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_core_30;Renforcement Core Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_core_45;Renforcement Core Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_core_60;Renforcement Core Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_core_75;Renforcement Core Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Core
renforcement_intermediaire_cardio_10;Renforcement Cardio Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_cardio_15;Renforcement Cardio Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_cardio_20;Renforcement Cardio Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_cardio_30;Renforcement Cardio Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_cardio_45;Renforcement Cardio Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_cardio_60;Renforcement Cardio Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_cardio_75;Renforcement Cardio Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Cardio
renforcement_intermediaire_boxe_10;Renforcement Boxe Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_boxe_15;Renforcement Boxe Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_boxe_20;Renforcement Boxe Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_boxe_30;Renforcement Boxe Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_boxe_45;Renforcement Boxe Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_boxe_60;Renforcement Boxe Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_boxe_75;Renforcement Boxe Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Boxe
renforcement_intermediaire_mobilit_10;Renforcement Mobilité Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_mobilit_15;Renforcement Mobilité Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_mobilit_20;Renforcement Mobilité Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_mobilit_30;Renforcement Mobilité Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_mobilit_45;Renforcement Mobilité Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_mobilit_60;Renforcement Mobilité Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_mobilit_75;Renforcement Mobilité Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;Mobilité
renforcement_intermediaire_hyrox_10;Renforcement Hyrox Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;Hyrox
