key;exercice;groupe_musculaire;categorie;styles;fichier_attendu
hip_thrust;Hip thrust;Jambes / fessiers;legs;;assets/exercises/legs/hip_thrust.jpg
leg_curl;Leg curl;Jambes / fessiers;legs;;assets/exercises/legs/leg_curl.jpg
leg_extension;Leg extension;Jambes / fessiers;legs;;assets/exercises/legs/leg_extension.jpg
mollets;Mollets;Jambes / fessiers;legs;;assets/exercises/legs/mollets.jpg
monster_walk;Monster walk mini-band;Jambes / fessiers;legs;prevention, renforcement;assets/exercises/legs/monster_walk.jpg
pont_fessier;Pont fessier;Jambes / fessiers;legs;;assets/exercises/legs/pont_fessier.jpg
presse;Presse à cuisses;Jambes / fessiers;legs;;assets/exercises/legs/presse.jpg
rdl;RDL;Jambes / fessiers;legs;;assets/exercises/legs/rdl.jpg
side_squat;Side squat;Jambes / fessiers;legs;mobilite, renforcement;assets/exercises/legs/side_squat.jpg
reverse_sled_drag;Sled drag arrière;Jambes / fessiers;legs;hyrox, prevention;assets/exercises/legs/reverse_sled_drag.jpg
squat;Squat;Jambes / fessiers;legs;poids_du_corps, home, full_body;assets/exercises/legs/squat.jpg
squat_chaise;Squat chaise;Jambes / fessiers;legs;debutant, home;assets/exercises/legs/squat_chaise.jpg
squat_sumo;Squat sumo;Jambes / fessiers;legs;renforcement, musculation, jambes;assets/exercises/legs/squat_sumo.jpg
step_down;Step down;Jambes / fessiers;legs;prevention, renforcement;assets/exercises/legs/step_down.jpg
step_up;Step up;Jambes / fessiers;legs;;assets/exercises/legs/step_up.jpg
superman;Superman;Jambes / fessiers;core;home, prevention;assets/exercises/core/superman.jpg
woodchopper_poulie;Woodchopper poulie;Abdos / gainage;core;core, boxe;assets/exercises/core/woodchopper_poulie.jpg
assault_bike;Assault bike;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/assault_bike.jpg
battle_rope;Battle rope;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/battle_rope.jpg
bear_crawl;Bear crawl;Cardio / full body;cardio_crossfit;circuit_training, crossfit;assets/exercises/cardio_crossfit/bear_crawl.jpg
box_jump;Box jump;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/box_jump.jpg
box_step_over;Box step over;Cardio / full body;cardio_crossfit;hyrox, cross_training;assets/exercises/cardio_crossfit/box_step_over.jpg
burpee;Burpee;Cardio / full body;cardio_crossfit;hiit, crossfit;assets/exercises/cardio_crossfit/burpee.jpg
burpee_adapte;Burpee adapté;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/burpee_adapte.jpg
burpee_box_jump;Burpee box jump;Cardio / full body;cardio_crossfit;crossfit, for_time;assets/exercises/cardio_crossfit/burpee_box_jump.jpg
burpee_broad_jump;Burpee broad jump;Cardio / full body;cardio_crossfit;hyrox, for_time;assets/exercises/cardio_crossfit/burpee_broad_jump.jpg
wall_sit;Chaise murale;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/wall_sit.jpg
clean_and_jerk;Clean and jerk;Cardio / full body;cardio_crossfit;crossfit, expert;assets/exercises/cardio_crossfit/clean_and_jerk.jpg
clean_kettlebell;Clean kettlebell;Cardio / full body;cardio_crossfit;cross_training, crossfit;assets/exercises/cardio_crossfit/clean_kettlebell.jpg
rope_climb;Corde à grimper;Cardio / full body;cardio_crossfit;crossfit, expert;assets/exercises/cardio_crossfit/rope_climb.jpg
corde_sauter;Corde à sauter;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/corde_sauter.jpg
course_legere;Course légère;Cardio / full body;cardio_crossfit;cardio, exterieur;assets/exercises/cardio_crossfit/course_legere.jpg
devil_press;Devil press;Cardio / full body;cardio_crossfit;crossfit, hiit;assets/exercises/cardio_crossfit/devil_press.jpg
farmers_carry_lourd;Farmer carry lourd;Cardio / full body;cardio_crossfit;hyrox, force;assets/exercises/cardio_crossfit/farmers_carry_lourd.jpg
farmer_walk;Farmer walk;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/farmer_walk.jpg
jump_lunge;Fentes sautées;Cardio / full body;cardio_crossfit;hiit, tabata, for_time;assets/exercises/cardio_crossfit/jump_lunge.jpg
jumping_jack;Jumping jack;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/jumping_jack.jpg
kettlebell_swing;Kettlebell swing;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/kettlebell_swing.jpg
man_maker;Man maker;Cardio / full body;cardio_crossfit;crossfit, for_time;assets/exercises/cardio_crossfit/man_maker.jpg
marche_rapide;Marche rapide;Cardio / full body;cardio_crossfit;debutant, exterieur, recovery;assets/exercises/cardio_crossfit/marche_rapide.jpg
high_knees;Montées de genoux;Cardio / full body;cardio_crossfit;hiit, tabata;assets/exercises/cardio_crossfit/high_knees.jpg
mountain_climber;Mountain climber;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/mountain_climber.jpg
shuttle_run;Navettes;Cardio / full body;cardio_crossfit;exterieur, circuit_training, hiit;assets/exercises/cardio_crossfit/shuttle_run.jpg
lateral_shuffle;Pas chassés rapides;Cardio / full body;cardio_crossfit;exterieur, circuit_training;assets/exercises/cardio_crossfit/lateral_shuffle.jpg
sandbag_carry;Porté sandbag;Cardio / full body;cardio_crossfit;hyrox, cross_training;assets/exercises/cardio_crossfit/sandbag_carry.jpg
rameur;Rameur;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/rameur.jpg
step_overs_sandbag;Sandbag step over;Cardio / full body;cardio_crossfit;hyrox, crossfit;assets/exercises/cardio_crossfit/step_overs_sandbag.jpg
skater_jump;Skater jump;Cardio / full body;cardio_crossfit;hiit, exterieur;assets/exercises/cardio_crossfit/skater_jump.jpg
ski_erg;Ski erg;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/ski_erg.jpg
med_ball_slam;Slam medecine ball;Cardio / full body;cardio_crossfit;hiit, circuit_training;assets/exercises/cardio_crossfit/med_ball_slam.jpg
sled_pull;Sled pull;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/sled_pull.jpg
sled_pull_rope;Sled pull corde;Cardio / full body;cardio_crossfit;hyrox;assets/exercises/cardio_crossfit/sled_pull_rope.jpg
sled_push;Sled push;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/sled_push.jpg
sled_push_light;Sled push léger;Cardio / full body;cardio_crossfit;hyrox;assets/exercises/cardio_crossfit/sled_push_light.jpg
snatch_haltere;Snatch haltère;Cardio / full body;cardio_crossfit;crossfit, hiit;assets/exercises/cardio_crossfit/snatch_haltere.jpg
db_snatch_alterne;Snatch haltère alterné;Cardio / full body;cardio_crossfit;crossfit, amrap;assets/exercises/cardio_crossfit/db_snatch_alterne.jpg
sprawl;Sprawl;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/sprawl.jpg
jump_squat;Squat sauté;Cardio / full body;cardio_crossfit;hiit, tabata, cross_training;assets/exercises/cardio_crossfit/jump_squat.jpg
suicides;Suicides course;Cardio / full body;cardio_crossfit;exterieur, for_time;assets/exercises/cardio_crossfit/suicides.jpg
butt_kicks;Talons fesses;Cardio / full body;cardio_crossfit;warmup, hiit;assets/exercises/cardio_crossfit/butt_kicks.jpg
thruster;Thruster;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/thruster.jpg
db_thruster;Thruster haltères;Cardio / full body;cardio_crossfit;crossfit, hiit;assets/exercises/cardio_crossfit/db_thruster.jpg
wall_ball;Wall ball;Cardio / full body;cardio_crossfit;;assets/exercises/cardio_crossfit/wall_ball.jpg
wall_ball_shot;Wall ball shot;Cardio / full body;cardio_crossfit;hyrox, crossfit;assets/exercises/cardio_crossfit/wall_ball_shot.jpg
wall_walk;Wall walk;Cardio / full body;cardio_crossfit;crossfit, expert;assets/exercises/cardio_crossfit/wall_walk.jpg
boxe_appuis_cercle;Appuis en cercle;Boxe;boxe;boxe, exterieur;assets/exercises/boxe/boxe_appuis_cercle.jpg
corde_boxe;Corde boxe;Boxe;boxe;boxe, cardio;assets/exercises/boxe/corde_boxe.jpg
crochets;Crochets;Boxe;boxe;;assets/exercises/boxe/crochets.jpg
direct_crochet_direct;Direct crochet direct;Boxe;boxe;boxe, cardio_boxing;assets/exercises/boxe/direct_crochet_direct.jpg
directs;Directs;Boxe;boxe;;assets/exercises/boxe/directs.jpg
deplacements_boxe;Déplacements boxe;Boxe;boxe;;assets/exercises/boxe/deplacements_boxe.jpg
boxe_1_2_3;Enchaînement 1-2-3;Boxe;boxe;boxe;assets/exercises/boxe/boxe_1_2_3.jpg
slip_roll;Esquive rotative;Boxe;boxe;boxe;assets/exercises/boxe/slip_roll.jpg
esquives;Esquives;Boxe;boxe;;assets/exercises/boxe/esquives.jpg
jab_cross;Jab cross;Boxe;boxe;boxe, cardio_boxing;assets/exercises/boxe/jab_cross.jpg
boxe_jab_only;Jab uniquement;Boxe;boxe;boxe, debutant;assets/exercises/boxe/boxe_jab_only.jpg
sac_round_puissance;Round sac puissance;Boxe;boxe;boxe, hiit;assets/exercises/boxe/sac_round_puissance.jpg
sac_frappes_libres;Sac frappes libres;Boxe;boxe;;assets/exercises/boxe/sac_frappes_libres.jpg
shadow_boxing;Shadow boxing;Boxe;boxe;;assets/exercises/boxe/shadow_boxing.jpg
uppercuts;Uppercuts;Boxe;boxe;;assets/exercises/boxe/uppercuts.jpg
mobilite_90_90;90/90;Mobilité / étirements;mobilite;;assets/exercises/mobilite/mobilite_90_90.jpg
hamstring_scoop;Balayage ischios;Mobilité / étirements;mobilite;warmup, mobilite;assets/exercises/mobilite/hamstring_scoop.jpg
cat_cow;Cat cow;Mobilité / étirements;mobilite;;assets/exercises/mobilite/cat_cow.jpg
cobra_stretch;Cobra stretch;Mobilité / étirements;mobilite;stretching;assets/exercises/mobilite/cobra_stretch.jpg
mobilite_cheville;Mobilité cheville;Mobilité / étirements;mobilite;;assets/exercises/mobilite/mobilite_cheville.jpg
ankle_rocks;Mobilité cheville dynamique;Mobilité / étirements;mobilite;mobilite, warmup;assets/exercises/mobilite/ankle_rocks.jpg
mobilite_epaules;Mobilité épaules;Mobilité / étirements;mobilite;;assets/exercises/mobilite/mobilite_epaules.jpg
child_pose;Posture enfant;Mobilité / étirements;mobilite;stretching, recovery;assets/exercises/mobilite/child_pose.jpg
respiration_box;Respiration box breathing;Mobilité / étirements;mobilite;recovery, mobilite;assets/exercises/mobilite/respiration_box.jpg
thoracic_rotation;Rotation thoracique;Mobilité / étirements;mobilite;mobilite, prevention;assets/exercises/mobilite/thoracic_rotation.jpg
stretch_ischios;Stretch ischios;Mobilité / étirements;mobilite;;assets/exercises/mobilite/stretch_ischios.jpg
stretch_pectoraux;Stretch pectoraux;Mobilité / étirements;mobilite;;assets/exercises/mobilite/stretch_pectoraux.jpg
stretch_psoas;Stretch psoas;Mobilité / étirements;mobilite;;assets/exercises/mobilite/stretch_psoas.jpg
world_stretch;World stretch;Mobilité / étirements;mobilite;;assets/exercises/mobilite/world_stretch.jpg
stretch_adducteurs;Étirement adducteurs;Mobilité / étirements;mobilite;stretching;assets/exercises/mobilite/stretch_adducteurs.jpg
stretch_mollets_mur;Étirement mollets mur;Mobilité / étirements;mobilite;stretching, recovery;assets/exercises/mobilite/stretch_mollets_mur.jpg
pigeon_stretch;Étirement pigeon;Mobilité / étirements;mobilite;stretching, mobilite;assets/exercises/mobilite/pigeon_stretch.jpg
stretch_quad;Étirement quadriceps;Mobilité / étirements;mobilite;stretching;assets/exercises/mobilite/stretch_quad.jpg
