id;nom;categorie;style;niveau;photo;avatar_posture;consigne
EX0011;Développé couché barre;Haut du corps;poids_du_corps;Actif;assets/photos/push/push_developpe_couche_barre_actif_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0012;Développé couché barre;Haut du corps;crossfit;Actif;assets/photos/push/push_developpe_couche_barre_actif_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0013;Développé couché barre;Haut du corps;crosstraining;Actif;assets/photos/push/push_developpe_couche_barre_actif_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0014;Développé couché barre;Haut du corps;hiit;Actif;assets/photos/push/push_developpe_couche_barre_actif_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0015;Développé couché barre;Haut du corps;amrap;Actif;assets/photos/push/push_developpe_couche_barre_actif_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0016;Développé couché barre;Haut du corps;emom;Actif;assets/photos/push/push_developpe_couche_barre_actif_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0017;Développé couché barre;Haut du corps;cardio;Actif;assets/photos/push/push_developpe_couche_barre_actif_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0018;Développé couché barre;Haut du corps;remise_forme;Actif;assets/photos/push/push_developpe_couche_barre_actif_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0019;Développé couché barre;Haut du corps;musculation;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0020;Développé couché barre;Haut du corps;poids_du_corps;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0021;Développé couché barre;Haut du corps;crossfit;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0022;Développé couché barre;Haut du corps;crosstraining;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0023;Développé couché barre;Haut du corps;hiit;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0024;Développé couché barre;Haut du corps;amrap;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0025;Développé couché barre;Haut du corps;emom;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0026;Développé couché barre;Haut du corps;cardio;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0027;Développé couché barre;Haut du corps;remise_forme;Confirmé;assets/photos/push/push_developpe_couche_barre_confirme_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_confirme_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0028;Développé couché barre;Haut du corps;musculation;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0029;Développé couché barre;Haut du corps;poids_du_corps;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0030;Développé couché barre;Haut du corps;crossfit;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0031;Développé couché barre;Haut du corps;crosstraining;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0032;Développé couché barre;Haut du corps;hiit;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0033;Développé couché barre;Haut du corps;amrap;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0034;Développé couché barre;Haut du corps;emom;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0035;Développé couché barre;Haut du corps;cardio;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0036;Développé couché barre;Haut du corps;remise_forme;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_barre_athlete_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_athlete_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0037;Développé couché haltères;Haut du corps;musculation;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0038;Développé couché haltères;Haut du corps;poids_du_corps;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0039;Développé couché haltères;Haut du corps;crossfit;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0040;Développé couché haltères;Haut du corps;crosstraining;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0041;Développé couché haltères;Haut du corps;hiit;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0042;Développé couché haltères;Haut du corps;amrap;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0043;Développé couché haltères;Haut du corps;emom;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0044;Développé couché haltères;Haut du corps;cardio;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0045;Développé couché haltères;Haut du corps;remise_forme;Débutant;assets/photos/push/push_developpe_couche_halteres_debutant_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_debutant_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0046;Développé couché haltères;Haut du corps;musculation;Actif;assets/photos/push/push_developpe_couche_halteres_actif_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0047;Développé couché haltères;Haut du corps;poids_du_corps;Actif;assets/photos/push/push_developpe_couche_halteres_actif_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0048;Développé couché haltères;Haut du corps;crossfit;Actif;assets/photos/push/push_developpe_couche_halteres_actif_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0049;Développé couché haltères;Haut du corps;crosstraining;Actif;assets/photos/push/push_developpe_couche_halteres_actif_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0050;Développé couché haltères;Haut du corps;hiit;Actif;assets/photos/push/push_developpe_couche_halteres_actif_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0051;Développé couché haltères;Haut du corps;amrap;Actif;assets/photos/push/push_developpe_couche_halteres_actif_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0052;Développé couché haltères;Haut du corps;emom;Actif;assets/photos/push/push_developpe_couche_halteres_actif_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0053;Développé couché haltères;Haut du corps;cardio;Actif;assets/photos/push/push_developpe_couche_halteres_actif_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0054;Développé couché haltères;Haut du corps;remise_forme;Actif;assets/photos/push/push_developpe_couche_halteres_actif_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_actif_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0055;Développé couché haltères;Haut du corps;musculation;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0056;Développé couché haltères;Haut du corps;poids_du_corps;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0057;Développé couché haltères;Haut du corps;crossfit;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0058;Développé couché haltères;Haut du corps;crosstraining;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0059;Développé couché haltères;Haut du corps;hiit;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0060;Développé couché haltères;Haut du corps;amrap;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0061;Développé couché haltères;Haut du corps;emom;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0062;Développé couché haltères;Haut du corps;cardio;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0063;Développé couché haltères;Haut du corps;remise_forme;Confirmé;assets/photos/push/push_developpe_couche_halteres_confirme_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_confirme_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0064;Développé couché haltères;Haut du corps;musculation;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0065;Développé couché haltères;Haut du corps;poids_du_corps;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0066;Développé couché haltères;Haut du corps;crossfit;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0067;Développé couché haltères;Haut du corps;crosstraining;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0068;Développé couché haltères;Haut du corps;hiit;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0069;Développé couché haltères;Haut du corps;amrap;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0070;Développé couché haltères;Haut du corps;emom;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0071;Développé couché haltères;Haut du corps;cardio;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0072;Développé couché haltères;Haut du corps;remise_forme;Athlète FAFATRAINING;assets/photos/push/push_developpe_couche_halteres_athlete_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_halteres_athlete_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché haltères
EX0073;Développé incliné haltères;Haut du corps;musculation;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_musculation.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0074;Développé incliné haltères;Haut du corps;poids_du_corps;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0075;Développé incliné haltères;Haut du corps;crossfit;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_crossfit.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0076;Développé incliné haltères;Haut du corps;crosstraining;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0077;Développé incliné haltères;Haut du corps;hiit;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_hiit.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0078;Développé incliné haltères;Haut du corps;amrap;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_amrap.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0079;Développé incliné haltères;Haut du corps;emom;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_emom.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0080;Développé incliné haltères;Haut du corps;cardio;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_cardio.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0081;Développé incliné haltères;Haut du corps;remise_forme;Débutant;assets/photos/push/push_developpe_incline_halteres_debutant_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_debutant_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0082;Développé incliné haltères;Haut du corps;musculation;Actif;assets/photos/push/push_developpe_incline_halteres_actif_musculation.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0083;Développé incliné haltères;Haut du corps;poids_du_corps;Actif;assets/photos/push/push_developpe_incline_halteres_actif_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0084;Développé incliné haltères;Haut du corps;crossfit;Actif;assets/photos/push/push_developpe_incline_halteres_actif_crossfit.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0085;Développé incliné haltères;Haut du corps;crosstraining;Actif;assets/photos/push/push_developpe_incline_halteres_actif_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0086;Développé incliné haltères;Haut du corps;hiit;Actif;assets/photos/push/push_developpe_incline_halteres_actif_hiit.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0087;Développé incliné haltères;Haut du corps;amrap;Actif;assets/photos/push/push_developpe_incline_halteres_actif_amrap.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0088;Développé incliné haltères;Haut du corps;emom;Actif;assets/photos/push/push_developpe_incline_halteres_actif_emom.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0089;Développé incliné haltères;Haut du corps;cardio;Actif;assets/photos/push/push_developpe_incline_halteres_actif_cardio.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0090;Développé incliné haltères;Haut du corps;remise_forme;Actif;assets/photos/push/push_developpe_incline_halteres_actif_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_actif_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0091;Développé incliné haltères;Haut du corps;musculation;Confirmé;assets/photos/push/push_developpe_incline_halteres_confirme_musculation.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_confirme_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0092;Développé incliné haltères;Haut du corps;poids_du_corps;Confirmé;assets/photos/push/push_developpe_incline_halteres_confirme_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_confirme_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
EX0093;Développé incliné haltères;Haut du corps;crossfit;Confirmé;assets/photos/push/push_developpe_incline_halteres_confirme_crossfit.jpg;assets/avatar_exercices/push/push_developpe_incline_halteres_confirme_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé incliné haltères
