id;nom;categorie;style;niveau;chemin_photo;photo_obligatoire;consigne_photo;materiel_visible
EX0039;Développé couché haltères;Haut du corps;crosstraining;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0039_developpe-couche-halteres_confirme_crosstraining.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Confirmé, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0040;Développé couché haltères;Haut du corps;hiit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0040_developpe-couche-halteres_confirme_hiit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Confirmé, style hiit, matériel visible : haltères, banc;haltères, banc
EX0041;Développé couché haltères;Haut du corps;cardio;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0041_developpe-couche-halteres_confirme_cardio.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Confirmé, style cardio, matériel visible : haltères, banc;haltères, banc
EX0042;Développé couché haltères;Haut du corps;remise_forme;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0042_developpe-couche-halteres_confirme_remise_forme.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Confirmé, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0043;Développé couché haltères;Haut du corps;musculation;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0043_developpe-couche-halteres_athlete_musculation.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style musculation, matériel visible : haltères, banc;haltères, banc
EX0044;Développé couché haltères;Haut du corps;crossfit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0044_developpe-couche-halteres_athlete_crossfit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0045;Développé couché haltères;Haut du corps;crosstraining;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0045_developpe-couche-halteres_athlete_crosstraining.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0046;Développé couché haltères;Haut du corps;hiit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0046_developpe-couche-halteres_athlete_hiit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style hiit, matériel visible : haltères, banc;haltères, banc
EX0047;Développé couché haltères;Haut du corps;cardio;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0047_developpe-couche-halteres_athlete_cardio.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style cardio, matériel visible : haltères, banc;haltères, banc
EX0048;Développé couché haltères;Haut du corps;remise_forme;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0048_developpe-couche-halteres_athlete_remise_forme.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0049;Développé incliné haltères;Haut du corps;musculation;Débutant;assets/photos/exercises/01_haut_du_corps/EX0049_developpe-incline-halteres_debutant_musculation.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Débutant, style musculation, matériel visible : haltères, banc;haltères, banc
EX0050;Développé incliné haltères;Haut du corps;crossfit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0050_developpe-incline-halteres_debutant_crossfit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Débutant, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0051;Développé incliné haltères;Haut du corps;crosstraining;Débutant;assets/photos/exercises/01_haut_du_corps/EX0051_developpe-incline-halteres_debutant_crosstraining.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Débutant, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0052;Développé incliné haltères;Haut du corps;hiit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0052_developpe-incline-halteres_debutant_hiit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Débutant, style hiit, matériel visible : haltères, banc;haltères, banc
EX0053;Développé incliné haltères;Haut du corps;cardio;Débutant;assets/photos/exercises/01_haut_du_corps/EX0053_developpe-incline-halteres_debutant_cardio.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Débutant, style cardio, matériel visible : haltères, banc;haltères, banc
EX0054;Développé incliné haltères;Haut du corps;remise_forme;Débutant;assets/photos/exercises/01_haut_du_corps/EX0054_developpe-incline-halteres_debutant_remise_forme.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Débutant, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0055;Développé incliné haltères;Haut du corps;musculation;Actif;assets/photos/exercises/01_haut_du_corps/EX0055_developpe-incline-halteres_actif_musculation.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Actif, style musculation, matériel visible : haltères, banc;haltères, banc
EX0056;Développé incliné haltères;Haut du corps;crossfit;Actif;assets/photos/exercises/01_haut_du_corps/EX0056_developpe-incline-halteres_actif_crossfit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Actif, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0057;Développé incliné haltères;Haut du corps;crosstraining;Actif;assets/photos/exercises/01_haut_du_corps/EX0057_developpe-incline-halteres_actif_crosstraining.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Actif, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0058;Développé incliné haltères;Haut du corps;hiit;Actif;assets/photos/exercises/01_haut_du_corps/EX0058_developpe-incline-halteres_actif_hiit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Actif, style hiit, matériel visible : haltères, banc;haltères, banc
EX0059;Développé incliné haltères;Haut du corps;cardio;Actif;assets/photos/exercises/01_haut_du_corps/EX0059_developpe-incline-halteres_actif_cardio.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Actif, style cardio, matériel visible : haltères, banc;haltères, banc
EX0060;Développé incliné haltères;Haut du corps;remise_forme;Actif;assets/photos/exercises/01_haut_du_corps/EX0060_developpe-incline-halteres_actif_remise_forme.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Actif, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0061;Développé incliné haltères;Haut du corps;musculation;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0061_developpe-incline-halteres_confirme_musculation.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Confirmé, style musculation, matériel visible : haltères, banc;haltères, banc
EX0062;Développé incliné haltères;Haut du corps;crossfit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0062_developpe-incline-halteres_confirme_crossfit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Confirmé, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0063;Développé incliné haltères;Haut du corps;crosstraining;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0063_developpe-incline-halteres_confirme_crosstraining.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Confirmé, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0064;Développé incliné haltères;Haut du corps;hiit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0064_developpe-incline-halteres_confirme_hiit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Confirmé, style hiit, matériel visible : haltères, banc;haltères, banc
EX0065;Développé incliné haltères;Haut du corps;cardio;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0065_developpe-incline-halteres_confirme_cardio.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Confirmé, style cardio, matériel visible : haltères, banc;haltères, banc
EX0066;Développé incliné haltères;Haut du corps;remise_forme;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0066_developpe-incline-halteres_confirme_remise_forme.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Confirmé, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0067;Développé incliné haltères;Haut du corps;musculation;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0067_developpe-incline-halteres_athlete_musculation.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style musculation, matériel visible : haltères, banc;haltères, banc
EX0068;Développé incliné haltères;Haut du corps;crossfit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0068_developpe-incline-halteres_athlete_crossfit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0069;Développé incliné haltères;Haut du corps;crosstraining;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0069_developpe-incline-halteres_athlete_crosstraining.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0070;Développé incliné haltères;Haut du corps;hiit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0070_developpe-incline-halteres_athlete_hiit.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style hiit, matériel visible : haltères, banc;haltères, banc
EX0071;Développé incliné haltères;Haut du corps;cardio;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0071_developpe-incline-halteres_athlete_cardio.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style cardio, matériel visible : haltères, banc;haltères, banc
EX0072;Développé incliné haltères;Haut du corps;remise_forme;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0072_developpe-incline-halteres_athlete_remise_forme.jpg;OUI;Développé incliné haltères — photo réaliste dédiée, niveau Athlète FAFATRAINING, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0073;Pompes classiques;Haut du corps;musculation;Débutant;assets/photos/exercises/01_haut_du_corps/EX0073_pompes-classiques_debutant_musculation.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style musculation, matériel visible : poids du corps;poids du corps
EX0074;Pompes classiques;Haut du corps;poids_du_corps;Débutant;assets/photos/exercises/01_haut_du_corps/EX0074_pompes-classiques_debutant_poids_du_corps.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style poids_du_corps, matériel visible : poids du corps;poids du corps
EX0075;Pompes classiques;Haut du corps;crossfit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0075_pompes-classiques_debutant_crossfit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style crossfit, matériel visible : poids du corps;poids du corps
EX0076;Pompes classiques;Haut du corps;crosstraining;Débutant;assets/photos/exercises/01_haut_du_corps/EX0076_pompes-classiques_debutant_crosstraining.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style crosstraining, matériel visible : poids du corps;poids du corps
EX0077;Pompes classiques;Haut du corps;hiit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0077_pompes-classiques_debutant_hiit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style hiit, matériel visible : poids du corps;poids du corps
EX0078;Pompes classiques;Haut du corps;cardio;Débutant;assets/photos/exercises/01_haut_du_corps/EX0078_pompes-classiques_debutant_cardio.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style cardio, matériel visible : poids du corps;poids du corps
EX0079;Pompes classiques;Haut du corps;remise_forme;Débutant;assets/photos/exercises/01_haut_du_corps/EX0079_pompes-classiques_debutant_remise_forme.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Débutant, style remise_forme, matériel visible : poids du corps;poids du corps
EX0080;Pompes classiques;Haut du corps;musculation;Actif;assets/photos/exercises/01_haut_du_corps/EX0080_pompes-classiques_actif_musculation.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style musculation, matériel visible : poids du corps;poids du corps
EX0081;Pompes classiques;Haut du corps;poids_du_corps;Actif;assets/photos/exercises/01_haut_du_corps/EX0081_pompes-classiques_actif_poids_du_corps.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style poids_du_corps, matériel visible : poids du corps;poids du corps
EX0082;Pompes classiques;Haut du corps;crossfit;Actif;assets/photos/exercises/01_haut_du_corps/EX0082_pompes-classiques_actif_crossfit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style crossfit, matériel visible : poids du corps;poids du corps
EX0083;Pompes classiques;Haut du corps;crosstraining;Actif;assets/photos/exercises/01_haut_du_corps/EX0083_pompes-classiques_actif_crosstraining.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style crosstraining, matériel visible : poids du corps;poids du corps
EX0084;Pompes classiques;Haut du corps;hiit;Actif;assets/photos/exercises/01_haut_du_corps/EX0084_pompes-classiques_actif_hiit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style hiit, matériel visible : poids du corps;poids du corps
EX0085;Pompes classiques;Haut du corps;cardio;Actif;assets/photos/exercises/01_haut_du_corps/EX0085_pompes-classiques_actif_cardio.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style cardio, matériel visible : poids du corps;poids du corps
EX0086;Pompes classiques;Haut du corps;remise_forme;Actif;assets/photos/exercises/01_haut_du_corps/EX0086_pompes-classiques_actif_remise_forme.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Actif, style remise_forme, matériel visible : poids du corps;poids du corps
EX0087;Pompes classiques;Haut du corps;musculation;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0087_pompes-classiques_confirme_musculation.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style musculation, matériel visible : poids du corps;poids du corps
EX0088;Pompes classiques;Haut du corps;poids_du_corps;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0088_pompes-classiques_confirme_poids_du_corps.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style poids_du_corps, matériel visible : poids du corps;poids du corps
EX0089;Pompes classiques;Haut du corps;crossfit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0089_pompes-classiques_confirme_crossfit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style crossfit, matériel visible : poids du corps;poids du corps
EX0090;Pompes classiques;Haut du corps;crosstraining;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0090_pompes-classiques_confirme_crosstraining.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style crosstraining, matériel visible : poids du corps;poids du corps
EX0091;Pompes classiques;Haut du corps;hiit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0091_pompes-classiques_confirme_hiit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style hiit, matériel visible : poids du corps;poids du corps
EX0092;Pompes classiques;Haut du corps;cardio;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0092_pompes-classiques_confirme_cardio.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style cardio, matériel visible : poids du corps;poids du corps
EX0093;Pompes classiques;Haut du corps;remise_forme;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0093_pompes-classiques_confirme_remise_forme.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Confirmé, style remise_forme, matériel visible : poids du corps;poids du corps
EX0094;Pompes classiques;Haut du corps;musculation;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0094_pompes-classiques_athlete_musculation.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style musculation, matériel visible : poids du corps;poids du corps
EX0095;Pompes classiques;Haut du corps;poids_du_corps;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0095_pompes-classiques_athlete_poids_du_corps.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style poids_du_corps, matériel visible : poids du corps;poids du corps
EX0096;Pompes classiques;Haut du corps;crossfit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0096_pompes-classiques_athlete_crossfit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crossfit, matériel visible : poids du corps;poids du corps
EX0097;Pompes classiques;Haut du corps;crosstraining;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0097_pompes-classiques_athlete_crosstraining.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crosstraining, matériel visible : poids du corps;poids du corps
EX0098;Pompes classiques;Haut du corps;hiit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0098_pompes-classiques_athlete_hiit.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style hiit, matériel visible : poids du corps;poids du corps
EX0099;Pompes classiques;Haut du corps;cardio;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0099_pompes-classiques_athlete_cardio.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style cardio, matériel visible : poids du corps;poids du corps
EX0100;Pompes classiques;Haut du corps;remise_forme;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0100_pompes-classiques_athlete_remise_forme.jpg;OUI;Pompes classiques — photo réaliste dédiée, niveau Athlète FAFATRAINING, style remise_forme, matériel visible : poids du corps;poids du corps
